Timestamp,Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Connection_Duration,Packets_Per_Second,Error_Rate,Login_Attempts,Bytes_Sent,Bytes_Received,Traffic_Flag,MAC_Address,Label
04-01-2026 11:12,9.125.228.15,115.144.135.238,13552,8080,UDP,,334,,0.342322785,3,,,DoS,52:9e:83:ca:06:94,1
01-01-2026 04:44,64.113.123.156,182.75.112.98,25373,22,UDP,,687,,0.632883522,15,,,Normal,9c:0d:e4:2c:c0:af,0
03-01-2026 14:27,217.221.240.157,225.58.187.19,3336,53,TCP,1324,559,3112,0.412128109,12,3537,49223,Probe,c4:8d:b8:3a:11:c3,0
03-01-2026 22:16,113.250.8.73,205.56.196.116,3114,8080,UDP,1865,196,4339,0.926413135,16,3958,35051,Suspicious,e7:ff:61:52:52:4d,1
04-01-2026 12:11,0.234.40.246,47.149.140.64,56727,443,TCP,584,777,5569,0.684655883,19,48640,42797,Normal,f1:48:a7:e0:70:b6,1
01-01-2026 02:09,164.115.16.100,97.17.126.200,28972,22,ICMP,972,594,4770,0.905415114,13,38758,16833,Probe,39:2b:11:e3:65:89,0
02-01-2026 06:00,239.139.54.88,165.172.65.181,1170,8080,UDP,627,764,4553,0.226163939,13,12932,50831,Normal,ce:f1:2f:5c:56:d2,0
03-01-2026 19:22,107.122.62.33,147.186.116.96,27839,8080,ICMP,1100,73,1333,0.330708482,6,22697,22794,DoS,e6:87:ab:5e:bb:9a,1
05-01-2026 22:26,200.100.206.177,194.78.95.91,10914,22,ICMP,961,124,5137,0.657357237,23,3023,41735,Normal,35:4a:da:96:9d:28,1
03-01-2026 23:33,179.54.77.197,2.161.162.6,12820,21,UDP,1467,160,1278,0.235126633,10,47259,35679,Probe,b6:65:58:f6:19:e2,0
05-01-2026 23:56,13.243.153.126,162.167.125.54,56471,22,ICMP,1313,178,907,0.753695632,22,55242,54162,Normal,14:4f:b7:96:0d:c9,1
02-01-2026 16:25,141.92.86.30,146.27.40.91,48204,80,TCP,1334,407,4760,0.55430441,8,47888,7776,Normal,f2:59:cf:8e:ba:40,0
04-01-2026 23:10,158.89.140.65,42.2.65.144,56301,8080,ICMP,1379,119,814,0.927841925,8,38496,13507,DoS,96:1f:2e:14:ae:56,1
05-01-2026 22:03,31.57.36.27,220.170.84.131,35206,53,ICMP,,317,,0.249674988,3,,,Normal,88:a9:16:2a:d6:b9,0
01-01-2026 23:20,18.93.77.150,67.23.159.116,22386,53,UDP,1921,791,3025,0.432294177,0,8264,42234,Normal,d7:85:5f:47:be:a7,0
01-01-2026 05:00,151.94.248.139,172.69.159.193,64715,80,TCP,1697,464,1534,0.43640662,19,10223,3047,DoS,75:8e:f4:30:58:b0,1
04-01-2026 03:49,156.74.216.137,146.173.9.187,9108,22,UDP,496,426,1874,0.099185649,22,48647,12869,Suspicious,91:fb:df:8c:08:c4,1
03-01-2026 23:22,15.18.208.118,202.163.249.213,5954,8080,ICMP,,117,,0.548135904,20,,,DoS,90:cd:ac:26:c4:ac,1
02-01-2026 23:44,71.88.139.145,127.216.196.139,24706,22,TCP,,440,,0.987356857,6,,,Normal,56:1a:62:68:a6:a7,0
01-01-2026 11:04,174.135.203.28,176.1.71.131,9015,22,ICMP,1966,640,4882,0.010717484,24,44060,57895,DoS,cb:b9:e0:39:26:3c,1
02-01-2026 12:24,33.212.250.96,21.23.115.10,9574,8080,UDP,496,721,46,0.55433695,19,15573,45100,Probe,b9:63:0a:59:5e:ab,1
06-01-2026 18:42,216.44.133.4,50.10.46.239,30248,21,TCP,1291,369,3386,0.638707017,17,42714,7620,Normal,d9:95:d4:82:35:eb,0
06-01-2026 18:45,71.88.88.50,122.98.13.71,45111,21,ICMP,1663,209,858,0.83565127,17,31343,48184,Probe,54:b9:32:b7:ba:cb,1
05-01-2026 12:34,108.182.34.104,47.234.4.113,38822,53,ICMP,532,90,4818,0.370475747,7,20932,49045,Normal,86:a2:6e:07:de:58,0
03-01-2026 04:35,15.205.88.143,161.49.147.9,7452,21,ICMP,1868,731,5711,0.878770233,20,54234,28985,Normal,7f:35:a5:e5:d9:0a,1
01-01-2026 06:29,253.134.246.85,92.94.175.184,49478,21,UDP,577,293,1080,0.542098454,23,59073,2449,Normal,fd:89:dd:b7:ae:80,1
,234.150.11.112,83.244.201.78,63704,53,ICMP,1066,667,1754,0.516754503,15,19340,36232,DoS,6c:d5:1b:25:69:12,1
06-01-2026 05:16,12.220.224.62,41.22.65.211,19462,53,UDP,261,359,5797,0.58729286,2,40255,42781,Suspicious,42:4d:ec:3f:2f:92,0
01-01-2026 20:11,246.185.241.79,116.210.251.94,1446,21,ICMP,161,375,682,0.810590776,11,37479,37816,Normal,ee:ef:58:11:47:03,0
04-01-2026 15:50,108.232.42.237,97.92.95.121,46791,53,TCP,1210,677,5692,0.817040885,0,28306,66876,Normal,71:78:09:cf:b8:00,0
03-01-2026 03:42,57.235.97.50,160.149.250.57,44992,21,ICMP,1782,125,4508,0.862480317,5,11139,65054,Probe,23:82:7c:3b:b8:50,1
03-01-2026 07:34,45.168.217.201,67.86.232.189,36988,8080,ICMP,1249,9,2299,0.163780496,5,31484,56101,Normal,78:ea:d1:09:37:18,0
03-01-2026 13:21,165.128.146.23,220.47.203.69,31270,21,UDP,1225,485,5663,0.548891229,19,54529,3922,Normal,9f:a1:1a:24:ac:c8,1
02-01-2026 17:18,3.29.16.84,239.135.78.224,29476,53,UDP,1389,590,3006,0.905354342,0,27859,4063,Suspicious,ed:71:91:ec:ea:2e,0
06-01-2026 00:25,82.112.14.51,5.247.4.206,46961,53,UDP,921,368,3716,0.655034603,19,19716,27264,Normal,46:85:17:12:0b:1a,1
05-01-2026 02:17,79.243.17.178,153.57.144.54,58886,80,TCP,1872,616,475,0.264378385,12,15824,29402,Normal,bb:e2:f9:63:27:cf,0
02-01-2026 14:12,53.153.110.176,126.158.99.247,19418,80,ICMP,573,9,441,0.173023878,4,38016,46197,DoS,4b:4e:9c:d0:23:fb,1
03-01-2026 18:31,234.17.160.81,218.35.87.66,47747,21,ICMP,1123,,3513,,21,13093,11047,Normal,37:ee:cb:0c:55:db,1
02-01-2026 01:26,233.208.41.90,190.141.69.178,3803,80,UDP,775,772,3218,0.77702258,13,28251,62436,Probe,5e:ff:74:81:ed:8d,0
05-01-2026 03:53,12.242.30.209,151.143.179.138,50274,80,UDP,554,216,371,0.677525809,4,21921,25401,Normal,65:84:b8:74:bc:2a,0
02-01-2026 20:08,145.252.144.128,89.137.183.218,45203,80,ICMP,1355,537,1652,0.400304628,23,44303,51909,Normal,42:72:fd:0c:d4:6e,1
05-01-2026 00:23,159.101.201.192,8.17.152.201,9604,8080,TCP,403,78,747,0.436551933,6,17024,60490,Normal,d5:56:2f:d7:73:cd,0
03-01-2026 04:48,244.124.166.254,160.128.116.69,61086,80,TCP,,177,,0.239163955,5,,,Suspicious,28:7f:65:c4:ef:76,0
01-01-2026 19:21,22.96.66.67,13.231.33.112,24863,21,ICMP,1875,595,944,0.724672083,17,13607,58087,Normal,1a:eb:59:59:34:fe,0
03-01-2026 18:32,190.95.99.155,15.33.94.178,29723,53,ICMP,1846,,1257,,18,50301,4189,Normal,67:58:89:39:5d:98,0
05-01-2026 15:49,82.62.246.77,8.172.105.123,48702,22,TCP,393,270,5270,0.978435978,16,57131,52805,Probe,b4:39:51:1a:6e:47,0
06-01-2026 05:15,250.107.48.117,201.120.63.106,31438,22,TCP,113,621,1443,0.19483994,14,53243,43679,Normal,46:87:73:c8:d5:f1,0
02-01-2026 10:51,221.237.203.241,173.87.146.103,58480,21,ICMP,,519,,0.457698588,15,,,DoS,a5:47:fc:b8:bd:18,1
,115.214.165.11,167.226.25.137,46615,443,TCP,,245,,0.805399669,9,,,Probe,01:73:3d:14:73:c2,0
04-01-2026 17:19,149.161.95.171,83.91.203.125,3947,8080,TCP,1680,,4082,,6,7111,24128,Probe,fa:95:d8:09:3c:a0,1
,216.224.229.73,147.40.227.131,14929,22,ICMP,1958,186,4341,0.945248231,23,32930,41461,Normal,77:e0:28:6a:1f:8a,1
01-01-2026 06:26,168.101.171.235,10.37.154.249,5390,21,TCP,417,131,366,0.654026839,19,50932,26050,Normal,04:1d:e1:e9:61:67,1
04-01-2026 12:53,90.71.136.213,150.206.228.239,44663,21,TCP,515,449,2146,0.885230818,6,6959,10008,Normal,67:05:21:5f:f9:9b,0
01-01-2026 00:35,72.156.109.30,82.10.185.36,24889,443,ICMP,855,373,1555,0.863356774,8,47135,32980,Normal,8c:22:78:1d:47:04,0
02-01-2026 10:19,123.217.153.206,189.84.192.43,42194,443,TCP,914,505,642,0.400566845,6,1117,15253,Normal,37:c1:ff:c2:a6:8d,0
01-01-2026 19:30,209.213.190.13,221.188.69.95,58570,22,TCP,687,784,3093,0.277867584,15,1810,18592,Suspicious,22:29:6a:39:c8:b5,0
02-01-2026 04:23,169.161.4.215,180.182.118.50,38985,80,TCP,1326,403,1526,0.047370428,17,46924,65590,Normal,1e:b5:c3:de:e3:60,0
06-01-2026 17:02,94.28.39.91,107.39.91.191,33798,8080,ICMP,1285,470,4986,0.764599579,18,35871,69302,Probe,46:6d:40:36:e0:ad,0
06-01-2026 12:28,103.9.7.150,211.46.31.249,56833,53,UDP,111,182,445,0.225446986,6,11337,40812,Normal,be:25:00:d4:f5:d2,0
02-01-2026 20:06,32.3.9.180,48.167.105.199,51855,80,UDP,1704,600,2930,0.258017985,2,14696,4899,Normal,82:6d:19:00:9b:af,0
04-01-2026 06:06,204.196.158.198,224.237.242.76,65095,53,ICMP,935,37,5596,0.722099802,4,48934,213,Normal,eb:3f:dc:c7:1e:06,0
